name,residual
Cafe Cuong,0.13999999999999613
The Original Turkey,0.13900000000000645
Sally,0.13900000000000468
Sushi by Bou - Fishtown PA @ Izakaya Fishtown,0.1389999999999958
Gilda,0.1389999999999949
El zurdo,0.13899999999999402
NAYA,0.13800000000000434
Middle Child,0.13800000000000434
J&J family restaurant,0.1380000000000008
The Mulberry,0.13799999999999724
Kismet Bagels - Fishtown,0.13799999999999724
Source Urban Brewery,0.13799999999999635
Passage Restaurant,0.13799999999999546
Picapollo Express,0.137000000000004
Allegro Pizza and Grill,0.1370000000000018
Kalaya,0.13699999999999868
Alta Cocina Philly,0.13699999999999868
Pete's Clown House,0.13699999999999513
Oregon Express,0.13699999999999424
Kitty's Luncheonette,0.13699999999999424
Izzy's 33,0.13600000000000456
Villagio Pizza Restaurant,0.13600000000000367
Yorty's Deli,0.136000000000001
Bill's Family Pizza,0.13599999999999968
KPOT Korean BBQ & Hot Pot,0.13599999999999923
Aldo Lamberti Trattoria,0.13599999999999834
Oh K-Dog & Egg Toast,0.13599999999999302
Pearls Pleasurable Eatery,0.13500000000000512
El Sabor Restaurant,0.13500000000000512
Nan Zhou Hand Drawn Noodle House,0.13500000000000245
Far East Chinese Cuisine,0.1349999999999998
Sunshine Sandwich Shop,0.13400000000000478
Gilbens Bakery,0.1340000000000039
Fine Garden Restaurant,0.134000000000003
JJ Thai Cuisine,0.13400000000000123
Coffeeland,0.13399999999999856
Castor Pizza,0.13399999999999546
Hibiscus Cafe,0.13300000000000622
Lazaro's Pizzeria and Grill,0.13300000000000534
Hilltown Tavern,0.13299999999999912
Gennaro's Pizza‎ & steak,0.13299999999999557
Andorra Ping Pong Chinese Restaurant,0.132000000000005
Domex Mexican Grill,0.132000000000005
Cafe Thanh Truc,0.13199999999999434
Olea,0.13100000000000822
Manayunk Indian grille,0.13100000000000556
Ambra Restaurant,0.13100000000000467
Asmara Restaurant,0.13100000000000378
The Union Tap,0.13100000000000378
52nd Skyline,0.13100000000000112
Uptown Grill,0.1309999999999949
Lucky Star Food Market,0.13000000000000522
Monk's Cafe,0.13000000000000433
PrimoHoagies,0.13000000000000078
2637brew,0.13000000000000078
Masal Cafe & Restaurant,0.1299999999999999
The Bagel Place,0.129999999999999
Golden Dragon,0.12999999999999456
Roxyhall Island Cuisine,0.12999999999999456
Lamberti Pizza & Market,0.12900000000000134
63rd Street Pizza,0.12899999999999956
La Casa Del Buen Gusto,0.12899999999999867
Guate Gualan Restaurant,0.12899999999999645
Paprica Grill,0.12899999999999512
Parc,0.12899999999999512
Billy Murphy's Irish Saloon,0.12800000000000633
Nanu's Hot Chicken,0.12800000000000455
La Canasta Mexican Food,0.12800000000000455
Sardi's Pollo A La Brasa - Philadelphia,0.12800000000000367
P&S Ravioli Company,0.1279999999999939
Glory Beer Bar & Kitchen,0.127000000000006
Chon Tong Thai Kitchen and Dessert,0.1270000000000051
Steve's Old London Pizza,0.12700000000000422
48th Street Grille,0.12700000000000333
Skyhigh,0.12700000000000067
Sing Gong Restaurant,0.12699999999999845
Vernick Fish,0.12699999999999712
Restaurant Gamarjoba,0.12699999999999623
Goldie,0.12699999999999445
Taste of Dacca,0.12600000000000655
"To-Kai Sushi, Hibachi Steakhouse and Bar",0.12600000000000477
Pizzeria Vetri,0.12599999999999678
Momma Mia’s Pizzeria,0.1259999999999959
Libertee Grounds,0.12599999999999412
IL Sorriso Cafe,0.12599999999999323
Butcher and Singer,0.12500000000000444
Oasis Haven مطعم الواحة,0.12500000000000355
Angelo's Pizzeria & Family Restaurant,0.125
Pancho's Cafe,0.12499999999999467
Nabrasa Brazilian Steakhouse - Philadelphia,0.12499999999999467
Bart's Bagels - West Philadelphia,0.12499999999999378
The Pizza Store,0.12400000000000588
China House No. 5,0.124000000000005
Lin's Garden,0.124000000000005
San Miguelito Mexican Cuisine,0.12399999999999523
Fino's Pizzeria & Restaurant,0.12300000000000644
Amsale Cafe,0.12300000000000555
Asad's Hot Chicken,0.12300000000000555
Seafood Pleasurez,0.12300000000000377
Los Cuatro Soles Restaurant,0.12300000000000288
PHS Pop Up Garden at South Street,0.12300000000000022
Casa del Mofongo 2,0.12299999999999844
Chloe's Corner,0.12299999999999756
Triangle Tavern,0.12299999999999578
Batter & Crumbs Vegan Bakery and Cafe,0.12299999999999578
EMei 峨嵋（EMei Restaurant）,0.12299999999999489
Il Ghiottone,0.1220000000000061
Izzys Hot Chicken and Desserts,0.12200000000000077
Macaroni's,0.12200000000000077
Rayaki Ramen Philadelphia Mills,0.12199999999999989
Espresso Cafe & Sushi Bar,0.121000000000004
A. P. J. Texas Weiner,0.1210000000000031
Golden Triangle,0.12100000000000133
Tex’s Chicken & Burgers,0.12100000000000133
K'Far Cafe Philadelphia,0.12099999999999866
Savas Brick Oven Pizza,0.12099999999999644
Amy's Pastelillos,0.12000000000000544
Taqueria Morales,0.12000000000000544
The Library Bar,0.120000000000001
Sorrentino's Deli,0.11900000000000421
Ramayana Restaurant,0.11899999999999622
Wood Street Pizza,0.11899999999999444
Georgian Bread,0.11899999999999444
B & J Chinese Restaurant & Cold Beer,0.11800000000000477
Loco Pez,0.11800000000000299
NYPD Pizza,0.1180000000000021
Turkey Berry,0.11799999999999589
Joseph's Pizza Parlor,0.11700000000000266
Franky Bradley's | B.West,0.11700000000000266
Renzi's Pizzeria MAYFAIR,0.11700000000000044
Georgian Bakery and Cafe,0.11699999999999733
Larry's Steaks,0.11699999999999688
Dragon House,0.11699999999999422
Tiffin Indian Cuisine Fairmount,0.11600000000000676
Shake Seafoods,0.11600000000000232
Breakfast 2 NE 2,0.11599999999999522
Romano's Pizza Express,0.11499999999999577
Little Fish BYOB,0.11400000000000521
Tabachoy,0.11400000000000432
Philadelphia Brewing Co.,0.11400000000000166
Playa Bowls,0.11400000000000077
BI-RESTAURANT,0.11400000000000077
Gino's Pizza Cafe,0.11399999999999899
B.Boy Bistro,0.1139999999999981
Bad Brother,0.11399999999999455
Cheng Long,0.11300000000000487
The Union Tap House,0.11300000000000043
Dunkin',0.11299999999999821
Pleasure Platters,0.11299999999999599
Lil nick's deli,0.1129999999999951
The Dandelion,0.11299999999999422
City Pizza,0.1120000000000001
Liberty Bell Diner,0.1120000000000001
Enswell,0.1120000000000001
Don Panchito Mexican Grill,0.11199999999999566
Oh Brother Philly,0.11199999999999477
The Nile Cafe,0.11199999999999477
Luna BYOB,0.1110000000000051
Dunkin',0.11100000000000021
Viva Pizzas,0.11099999999999621
Dunkin',0.11099999999999444
Vito's Hoagie,0.11099999999999444
La Parada II Restaurant,0.11000000000000654
Terakawa Ramen,0.11000000000000565
Jamil's Cafe,0.11000000000000387
Pietramala,0.11000000000000387
Royal Pizza,0.11000000000000032
El Vez,0.10999999999999943
LOS POTRILLOS RESTAURANT INC,0.10999999999999943
